K, J/mol K
2.095808383233532, 0.18867924528301216
8.083832335329333, 0.75471698113207
13.323353293413163, 1.6981132075471663
17.06586826347305, 3.2075471698113134
20.05988023952095, 4.7169811320754675
23.05389221556885, 6.320754716981128
25.29940119760478, 8.207547169811313
29.041916167664667, 10.094339622641506
32.03592814371257, 12.169811320754711
37.2754491017964, 14.433962264150935
41.017964071856284, 16.41509433962264
45.50898203592813, 18.30188679245282
51.49700598802394, 20.188679245283012
56.73652694610779, 22.075471698113205
63.473053892215574, 23.96226415094339
72.45508982035929, 25.660377358490557
81.43712574850301, 27.16981132075471
91.91616766467067, 28.49056603773584
105.38922155688624, 29.811320754716974
123.35329341317367, 31.13207547169811
141.3173652694611, 32.35849056603773
157.03592814371257, 33.11320754716981
168.26347305389223, 33.867924528301884
182.48502994011977, 34.71698113207546
195.20958083832335, 35.47169811320754
207.93413173652698, 36.226415094339615
219.1616766467066, 36.98113207547169
231.88622754491018, 37.830188679245275
242.3652694610779, 38.77358490566037
255.8383233532935, 39.52830188679245
268.562874251497, 40.56603773584905
280.5389221556887, 41.32075471698113
289.52095808383234, 41.698113207547166
297.00598802395217, 41.88679245283018
313.4730538922156, 41.13207547169811
304.4910179640719, 41.698113207547166
319.46107784431143, 40.56603773584905
324.7005988023953, 39.62264150943396
329.9401197604791, 38.67924528301886
335.92814371257487, 37.830188679245275
341.9161676646707, 36.79245283018867
347.15568862275455, 35.849056603773576
